model,outer_repeat,outer_fold,n_test,events_test,AUC,AUPRC,Brier,Log loss,Calibration intercept,Calibration slope
elastic_net,1,1,37,11,0.7552447552447552,0.6054768167067632,0.18464412294939092,0.5455640286413697,0.4962017540654851,1.2691669224852633
elastic_net,1,2,36,11,0.6981818181818181,0.6433243034055728,0.1851127094360917,0.5504943799309516,-0.24598786940498532,0.7186526093906143
elastic_net,1,3,36,10,0.826923076923077,0.7535178463399879,0.14732666199595051,0.4601549185476432,0.17917649256413487,1.6408640811105484
elastic_net,1,4,36,10,0.4807692307692308,0.34622465178499656,0.22014194575345958,0.6422036719134115,-0.7854512799290435,0.16235618228019394
elastic_net,1,5,36,10,0.7461538461538462,0.5219875776397516,0.18062819516577525,0.5394013536535016,0.9102350390013083,2.2384639511889755
elastic_net,2,1,37,11,0.5104895104895105,0.4294606025287843,0.22651411932917673,0.6838826620419846,-0.7315993497020571,0.10130733165086485
elastic_net,2,2,36,11,0.6945454545454546,0.5129098580383166,0.1926141682308422,0.5630549828455601,0.3699877222082295,1.3552500855934693
elastic_net,2,3,36,10,0.7692307692307693,0.6740242165242165,0.161571671250209,0.49761412178888853,0.5112125931922173,1.9560379814423883
elastic_net,2,4,36,10,0.6653846153846154,0.3967226890756302,0.1977573098896232,0.5728873412567433,-0.39500418071939675,0.6566974287004759
elastic_net,2,5,36,10,0.7961538461538462,0.6629727706933589,0.15833905788431307,0.4793613021981911,0.4506901623601834,1.5733217655747906
elastic_net,3,1,37,11,0.7307692307692308,0.5155449323898522,0.1852580749537416,0.5454358259004208,0.19628753476782101,1.2067542830423146
elastic_net,3,2,36,11,0.6145454545454545,0.4139940468887837,0.20906246008111204,0.6116531273886263,-0.20877927105975705,0.6092400952376175
elastic_net,3,3,36,10,0.6384615384615385,0.4292795798542702,0.19438452153676497,0.582908518610157,-0.40134724914736475,0.5341060698348633
elastic_net,3,4,36,10,0.8,0.6951256151256151,0.15526106629577174,0.47713049204815294,0.6472739330614053,1.8876618784092174
elastic_net,3,5,36,10,0.6807692307692308,0.6197896114967726,0.18940193830413618,0.5669080754444474,-0.4788453353590773,0.6294214238388421
elastic_net,4,1,37,11,0.6993006993006993,0.5371911613290924,0.18987143485230923,0.5563954204611538,0.09429798363913035,1.1777584596683235
elastic_net,4,2,36,11,0.6436363636363636,0.5677246905100893,0.19783578260293125,0.5947836220027902,-0.18942052368834877,0.6445526663090088
elastic_net,4,3,36,10,0.6153846153846154,0.33300722706497377,0.2316469460215403,0.6440082976385882,-0.7439621796504268,0.26096357486153715
elastic_net,4,4,36,10,0.7307692307692308,0.6286693199273844,0.16431560254783112,0.5088060434772209,0.43795860638301487,1.430403170495272
elastic_net,4,5,36,10,0.5653846153846154,0.4187608225108225,0.21260248148327887,0.6370889610536036,-0.5654315117872563,0.27932591252407984
elastic_net,5,1,37,11,0.7342657342657343,0.654229797979798,0.16789019971592598,0.5147400426282863,0.3215531741445776,1.2104140556609464
elastic_net,5,2,36,11,0.8145454545454545,0.5823326859212027,0.1790191581753969,0.523802799154081,1.261021906169205,2.1467972251842533
elastic_net,5,3,36,10,0.5846153846153846,0.34022185898784363,0.19948802563188275,0.5729921568889922,-0.2346892225510395,0.6821855463870722
elastic_net,5,4,36,10,0.7423076923076922,0.6211062192021943,0.17779062206411025,0.5380730371024706,-0.3231078590389513,0.9859163049976345
elastic_net,5,5,36,10,0.6653846153846155,0.6039376877495318,0.18159669601851006,0.5476065111191231,-0.21514809531852053,0.8791976400347148
elastic_net,6,1,37,11,0.7202797202797203,0.524323221188425,0.19198920632318411,0.563484308957678,1.4303802929753369,2.0417770242890465
elastic_net,6,2,36,11,0.7418181818181817,0.6406166084554832,0.1733953722836098,0.521820635405498,-0.10176503683147782,1.3751443986255962
elastic_net,6,3,36,10,0.6153846153846154,0.38438350778908054,0.20763094131648055,0.6149307912179953,-0.5833609872686982,0.3528914530184622
