model,term,selected,imputation_median,standardization_mean_after_imputation,standardization_SD_after_imputation,standardized_coefficient,OR_per_1_SD,coefficient_per_original_unit,OR_per_original_unit
ridge,Intercept,1,,,,-1.0603986576609516,,-13.258355073164001,
ridge,Male sex,1,1.0,0.585635359116022,0.4926120027659394,0.21836135911148413,1.244036530340704,0.4432725103842765,1.5577967923070473
ridge,Weight (kg),1,7.5,8.853591160220995,6.459525565316901,-0.05289575992364722,0.9484788768399354,-0.008188799531603399,0.9918446373557105
ridge,Preoperative CRP,1,1.03,1.8717127071823203,3.441711132514288,-0.23444973561118884,0.7910059923249035,-0.06812010845312147,0.9341482677354895
ridge,Preoperative neutrophils,1,1.89,2.260110497237569,1.59076790551822,0.4481680689019597,1.5654417756254326,0.2817306455249116,1.325421663645107
ridge,Driving pressure (OLV-30 min),1,17.0,16.718232044198896,2.5235135488517515,0.05389359914002303,1.0553723036601526,0.021356572135127105,1.0215862558936057
ridge,PEEP (OLV-30 min),1,3.0,2.5303867403314917,1.396686831245846,-0.3408994617864132,0.7111304003925839,-0.24407723632815423,0.783427122891706
ridge,PaCO2 (OLV-30 min),1,43.9,44.66740331491713,5.773083705193554,0.4520983176699851,1.5716064576670892,0.0783114087300121,1.0814593821307983
ridge,Blood base excess (OLV-30 min),1,-3.1,-3.0051933701657463,1.406124563676643,0.34079789549986544,1.4060690392635904,0.24236678904802664,1.2742614922704818
ridge,Heart rate (OLV-30 min),1,143.0,141.21546961325967,16.150979082766145,0.470822887153888,1.6013113497465226,0.02915135266668001,1.0295804124240842
ridge,Ti/Ttot (OLV-30 min),1,0.35,0.34313996316758755,0.021952905791290354,0.31194670679540204,1.3660818882079302,14.209813942679265,1483350.5062867522
elastic_net,Intercept,1,,,,-1.0399566956878132,,-12.591519131202096,
elastic_net,Male sex,1,1.0,0.585635359116022,0.4926120027659394,0.19398556469482392,1.2140787572323704,0.3937897647755745,1.4825888235140545
elastic_net,Weight (kg),1,7.5,8.853591160220995,6.459525565316901,-0.002865132317094539,0.9971389682573384,-0.00044355150980101074,0.9995565468446276
elastic_net,Preoperative CRP,1,1.03,1.8717127071823203,3.441711132514288,-0.1951001587619302,0.8227522480825036,-0.05668696507350483,0.9448898065872199
elastic_net,Preoperative neutrophils,1,1.89,2.260110497237569,1.59076790551822,0.40945371725875995,1.5059948613576404,0.2573937504260707,1.29355436407857
elastic_net,Driving pressure (OLV-30 min),1,17.0,16.718232044198896,2.5235135488517515,0.038251075116205936,1.0389920651863802,0.015157863976443055,1.0152733270501382
elastic_net,PEEP (OLV-30 min),1,3.0,2.5303867403314917,1.396686831245846,-0.32844188162142135,0.7200447748445978,-0.23515785663164795,0.7904460626268212
elastic_net,PaCO2 (OLV-30 min),1,43.9,44.66740331491713,5.773083705193554,0.4252423957579965,1.5299612308322887,0.07365948901372103,1.0764402033684168
elastic_net,Blood base excess (OLV-30 min),1,-3.1,-3.0051933701657463,1.406124563676643,0.3057978156542965,1.3577077715380421,0.21747562310889174,1.242935130244107
elastic_net,Heart rate (OLV-30 min),1,143.0,141.21546961325967,16.150979082766145,0.4619185816047364,1.5871160775208637,0.028600035901082014,1.0290129439230062
elastic_net,Ti/Ttot (OLV-30 min),1,0.35,0.34313996316758755,0.021952905791290354,0.2888843779072603,1.3349373713525783,13.159277439338938,518801.9236696153
lasso,Intercept,1,,,,-1.054330257570229,,-13.212882748769712,
lasso,Male sex,1,1.0,0.585635359116022,0.4926120027659394,0.19974138758265456,1.2210869290807507,0.40547405759733396,1.5000134242938246
lasso,Weight (kg),0,7.5,8.853591160220995,6.459525565316901,0.0,1.0,0.0,1.0
lasso,Preoperative CRP,1,1.03,1.8717127071823203,3.441711132514288,-0.18985154035464588,0.8270819131167607,-0.05516196247880711,0.9463318652861227
lasso,Preoperative neutrophils,1,1.89,2.260110497237569,1.59076790551822,0.4418896472382178,1.5556440613431315,0.2777838587925651,1.3202008165703984
lasso,Driving pressure (OLV-30 min),0,17.0,16.718232044198896,2.5235135488517515,0.0,1.0,0.0,1.0
lasso,PEEP (OLV-30 min),1,3.0,2.5303867403314917,1.396686831245846,-0.3619586979818784,0.6963111263026325,-0.2591552307105315,0.7717032217060958
lasso,PaCO2 (OLV-30 min),1,43.9,44.66740331491713,5.773083705193554,0.4614632218280585,1.586393533219533,0.07993357543264429,1.0832151131899654
lasso,Blood base excess (OLV-30 min),1,-3.1,-3.0051933701657463,1.406124563676643,0.3254224129652655,1.3846154019654981,0.23143213721718373,1.2604037891666358
lasso,Heart rate (OLV-30 min),1,143.0,141.21546961325967,16.150979082766145,0.515395326616521,1.6743002664416946,0.03191108873185726,1.0324257069453568
lasso,Ti/Ttot (OLV-30 min),1,0.35,0.34313996316758755,0.021952905791290354,0.29883531061086405,1.3482875565333132,13.612562885840136,816320.9566496847
