threshold,ridge_model,treat_all,treat_none
0.05,0.2500726955510323,0.24978191334690314,0.0
0.055,0.24645561109649505,0.24581250548101374,0.0
0.060000000000000005,0.24250617138826847,0.24180086987187022,0.0
0.065,0.2388985729902207,0.23774632906904597,0.0
0.07,0.23531159032852134,0.23364819105328816,0.0
0.07500000000000001,0.2312975959384799,0.2295057488427654,0.0
0.08,0.22723997117463368,0.22531828008647609,0.0
0.085,0.22313800078495305,0.22108504664432566,0.0
0.09,0.21899095379758363,0.21680529415336042,0.0
0.095,0.21537804096334054,0.21247825157962208,0.0
0.1,0.20564763658686308,0.20810313075506442,0.0
0.10500000000000001,0.20204327294052282,0.2036791258989475,0.0
0.11,0.19982618412067787,0.19920541312309886,0.0
0.115,0.19561756718793893,0.19468114992040453,0.0
0.12000000000000001,0.19286790557508787,0.19010547463586136,0.0
0.125,0.19179163378058406,0.18547750591949486,0.0
0.13,0.18848034546262782,0.18079634216041146,0.0
0.135,0.18398109411426566,0.1760610609012231,0.0
0.14,0.18090710522934603,0.17127071823204415,0.0
0.14500000000000002,0.17233691964718423,0.1664243481632257,0.0
0.15000000000000002,0.1702957426064348,0.16152096197595056,0.0
0.155,0.166334303180882,0.15655954754977278,0.0
0.16,0.15785319652722965,0.15153906866614045,0.0
0.165,0.15492771363350644,0.14645846428689577,0.0
0.16999999999999998,0.1542967449910138,0.1413166478066964,0.0
0.175,0.1506780512305374,0.1361125062782521,0.0
0.18,0.14620671068589142,0.13084489960921708,0.0
0.185,0.1437819882723791,0.125512659729519,0.0
0.19,0.14269149444103407,0.12011458972784939,0.0
0.195,0.13753817645242097,0.11464946295597261,0.0
0.2,0.13950276243093923,0.10911602209944748,0.0
0.20500000000000002,0.13892074081795752,0.10351297821328045,0.0
0.21000000000000002,0.1318274005175187,0.09783900972095946,0.0
0.21500000000000002,0.13315972833163245,0.09209276137523306,0.0
0.22000000000000003,0.12523020257826883,0.08627284317892045,0.0
0.22500000000000003,0.12225984672963817,0.08037782926394574,0.0
0.22999999999999998,0.12255148166750378,0.0744062567266987,0.0
0.235,0.11024446611056947,0.06835662441772289,0.0
0.24,0.0994475138121547,0.06222739168362895,0.0
0.245,0.09670337711755882,0.0560169770590172,0.0
0.25,0.09576427255985269,0.04972375690607733,0.0
0.255,0.09692610033742445,0.043346063999406687,0.0
0.26,0.09437061370763028,0.03688218605345672,0.0
0.265,0.09576427255985268,0.03033036418987478,0.0
0.27,0.08771664270037084,0.02368879134186025,0.0
0.275,0.08172985330539151,0.01695561059249373,0.0
0.28,0.08133824432166972,0.01012891344383049,0.0
0.28500000000000003,0.08101842908472741,0.0032067380133677936,0.0
0.29,0.08302855808886468,-0.0038129328456930067,0.0
0.295,0.08291211159437328,-0.010932173504173026,0.0
0.3,0.07734806629834252,-0.018153117600631485,0.0
0.305,0.06633808974919513,-0.025477960173297842,0.0
0.31,0.06645848346544958,-0.03290895988469861,0.0
0.315,0.05859579787877567,-0.04044844134371095,0.0
0.32,0.06662333441663959,-0.048098797530061854,0.0
0.325,0.06159197871905053,-0.05586249232658075,0.0
0.33,0.05665044941040652,-0.06374206316483888,0.0
0.335,0.060108835624974044,-0.07174012379013839,0.0
0.33999999999999997,0.05273731793068813,-0.07985936715218478,0.0
0.345,0.04268061237400364,-0.08810256842815573,0.0
0.35,0.040798980025499365,-0.09647258818529542,0.0
0.355,0.03336331320399161,-0.10497237569060774,0.0
0.36,0.03211325966850828,-0.11360497237569067,0.0
0.365,0.030277983207900108,-0.12237351546526298,0.0
0.37,0.03490309567657633,-0.13128124177847944,0.0
0.375,0.036464088397790057,-0.1403314917127072,0.0
0.38,0.0326145072179647,-0.14952771342006776,0.0
0.385,0.030948210034586518,-0.15887346718771067,0.0
0.39,0.032786885245901634,-0.16837243003351154,0.0
0.395,0.03474727181407242,-0.1780284005296563,0.0
0.4,0.03130755064456721,-0.18784530386740345,0.0
0.40499999999999997,0.02975997028645712,-0.19782719717721348,0.0
0.41,0.028186159752785864,-0.20797827511939315,0.0
0.415,0.03050479293573216,-0.21830287576143942,0.0
0.42,0.02343303486378359,-0.22880548675938267,0.0
0.425,0.021859236127792447,-0.23949075186163832,0.0
0.43,0.01890084326839199,-0.2503634777551614,0.0
0.435,0.030117831125018327,-0.2614286412751187,0.0
0.44,0.03196527229676401,-0.2726913970007893,0.0
0.445,0.030809815340202072,-0.2841570852620578,0.0
0.45,0.03415369161225515,-0.29583124058262183,0.0
0.455,0.03304779765826955,-0.30771960058796705,0.0
0.46,0.03192142418661755,-0.31982811540822603,0.0
0.465,0.03557597975938451,-0.332162957608303,0.0
0.47,0.03387887000938184,-0.3447305326800792,0.0
0.475,0.021836358852933446,-0.3575374901341752,0.0
0.48,0.015299617509562262,-0.3705907352316193,0.0
0.485,0.024674140428042703,-0.3838974413989165,0.0
0.49,0.023832737514895466,-0.39746506337341564,0.0
0.495,0.02839013183086264,-0.41130135112958816,0.0
0.5,0.027624309392265192,-0.42541436464088406,0.0
