model,metric,mean_across_10_repeats,sd_across_10_repeats,resampling_p2_5,resampling_p97_5,metric_from_mean_repeated_oof_probability
elastic_net,AUC,0.6791890280262374,0.023388055902640318,0.6457811568276685,0.7043008348240907,0.6893261776982708
elastic_net,AUPRC,0.4795823770930472,0.03781310565928649,0.41636906455358974,0.529305613384751,0.4897403137736226
elastic_net,Brier,0.1882648904312101,0.006345288495761207,0.18164457156453817,0.19882966948485692,0.18552166384402047
elastic_net,Log loss,0.5589121040583411,0.01632272049233148,0.5410571837188286,0.5861611588991371,0.5516567228515045
elastic_net,Calibration intercept,-0.13920948606943634,0.1327179609396179,-0.3467287113318366,0.015628272224043283,-0.04209752335958001
elastic_net,Calibration slope,0.8323634353932183,0.1578736244969477,0.5762873418235905,1.024829668493026,0.9490471999712263
lasso,AUC,0.663267740011926,0.02349947191383734,0.6381782945736434,0.6960532200357781,0.6797853309481217
lasso,AUPRC,0.45800432256183876,0.03684596202675883,0.4047865748003053,0.5128388844178299,0.4758410051231442
lasso,Brier,0.19192702615603718,0.006208386600303685,0.18478661390675608,0.20188154408563516,0.18797612944576078
lasso,Log loss,0.5686071224865001,0.015989606602676815,0.5479100142799878,0.5934680401616971,0.558117537060524
lasso,Calibration intercept,-0.22947413901661604,0.1035802972338156,-0.395231504528125,-0.10561370076399527,-0.10631797645142363
lasso,Calibration slope,0.7183611935405505,0.12642852243288716,0.5173037023335139,0.8733812743167529,0.8642218604984973
ridge,AUC,0.6862850327966606,0.020387398363162258,0.6551207513416816,0.7110241502683363,0.6951401311866428
ridge,AUPRC,0.48601166630573,0.03608376510812834,0.43675574773651255,0.5322674835949905,0.5109204247214275
ridge,Brier,0.1864447195237357,0.005305369557766382,0.18118079996547987,0.19462046870933505,0.18415165226508887
ridge,Log loss,0.5540485217296819,0.012703695113210987,0.5399697821906329,0.5754668928203275,0.5485526102746084
ridge,Calibration intercept,-0.04530513762284106,0.14191320200823795,-0.2655793992243403,0.11502464132330842,0.042759388402938026
ridge,Calibration slope,0.9415533991593055,0.16649538547096682,0.6693376144140241,1.1301328568896423,1.048414654758872
