risk_group,n,events,mean_predicted_probability,observed_event_proportion,observed_wilson_95_CI_low,observed_wilson_95_CI_high
1,23,2,0.10790456321364317,0.08695652173913043,0.02417949540723341,0.2679640429809402
2,23,4,0.1632586953127251,0.17391304347826086,0.06978540350612772,0.37138054785295666
3,22,3,0.1997168945307884,0.13636363636363635,0.04748917264236269,0.3333541187947
4,23,8,0.23136352276631864,0.34782608695652173,0.18811054636982238,0.5511002309310836
5,22,6,0.282398350442616,0.2727272727272727,0.1315058201581444,0.4815212369900198
6,23,8,0.34068955617874297,0.34782608695652173,0.18811054636982238,0.5511002309310836
7,22,8,0.428361558753684,0.36363636363636365,0.19732972772607899,0.5704865065628195
8,23,13,0.5422808810235478,0.5652173913043478,0.3681104930501695,0.7436563166780135
