model,outer_repeat,AUC,AUPRC,Brier,Log loss,Calibration intercept,Calibration slope
elastic_net,1,0.6826177698270721,0.5293549938876524,0.18357665742416268,0.5475526227920938,-0.12935113607574864,0.8617322955565512
elastic_net,2,0.6887298747763864,0.47596096598580573,0.18757559047712202,0.5600480520816089,-0.10976048909183665,0.8481907659146881
elastic_net,3,0.686046511627907,0.48323604349540256,0.18666579158634639,0.5567443825635658,-0.14996583099320152,0.8281523357895979
elastic_net,4,0.6484794275491951,0.4112181874056573,0.19920260964163747,0.5880406620290719,-0.3575698911979055,0.5578508035214504
elastic_net,5,0.7055754323196184,0.5291355249858685,0.18108364341174396,0.5393064294517933,0.02601771301460185,1.0371677137585702
elastic_net,6,0.6456469886702445,0.4341109747298015,0.19754509783372387,0.5796873147849173,-0.3093868695709325,0.6397909737531842
elastic_net,7,0.6999105545617174,0.49678768598225675,0.18438724592606281,0.5477127393450537,-0.02938211096526645,0.9317684355639841
elastic_net,8,0.6462432915921288,0.4552046142205611,0.19403193163230886,0.5741207587061868,-0.27178397229332096,0.6840976004620306
elastic_net,9,0.6900715563506261,0.49505584340983183,0.18454940740702286,0.5488205193016135,-0.04075469413287233,0.9525514725893084
elastic_net,10,0.6985688729874776,0.4857589368276351,0.1840309289719702,0.5470875595275055,-0.02015757938788073,0.9823319570228181
lasso,1,0.6565295169946332,0.5055765813904902,0.18725851999922166,0.5569484751586118,-0.17167788144121723,0.8046266300362995
lasso,2,0.6850029815146094,0.46606701964282643,0.18896369587029255,0.5655384784671698,-0.20396765344837853,0.7334906933022645
lasso,3,0.6748658318425761,0.46846671845870747,0.18961071658497058,0.5639575219374019,-0.21972228043791125,0.7414142238873899
lasso,4,0.6419200954084674,0.40463271233118864,0.201526861745719,0.5945079811621414,-0.3990737478644798,0.5102744502682539
lasso,5,0.6972271914132379,0.5149472949741543,0.18430887890397762,0.5464165273802523,-0.11520805569713582,0.8714547214583203
lasso,6,0.6387895050685748,0.4053165455272625,0.2019845163778689,0.5898860211601666,-0.38199711081401405,0.5415155705582984
lasso,7,0.6380441264162194,0.44722479255026054,0.19400606877289164,0.5743138919160413,-0.20362829805878696,0.7166410527796129
lasso,8,0.6386404293381037,0.4358075718925727,0.1960690269410418,0.5815535809200716,-0.31893187804119777,0.6165273431439218
lasso,9,0.6696481812760883,0.4565896784435816,0.1891098307813953,0.5598944998285118,-0.17770624148285905,0.7737266538567817
lasso,10,0.6920095408467501,0.4754143104073431,0.186432145582993,0.553054246934632,-0.10282824288018028,0.8739405961143625
ridge,1,0.6866428145497914,0.5237310633817545,0.18236646666858558,0.5446466866912526,-0.045836668106029856,0.9602064534575011
ridge,2,0.6996124031007752,0.48288303155715595,0.18501939928491712,0.5516205659858077,0.05292378507453684,1.0410406665815546
ridge,3,0.6920095408467501,0.4957659623807578,0.1840326843914745,0.5501632638365217,-0.018762000353439886,0.9928254391187783
ridge,4,0.6538461538461539,0.43664606656585997,0.19494451846661587,0.5771110470973132,-0.2711020769833825,0.6523105953422788
ridge,5,0.7061717352415027,0.5347457991407688,0.18083657414844917,0.5386119712065819,0.1243838732145541,1.133264307644164
ridge,6,0.6630888491353608,0.4406348261625764,0.19333213267531854,0.5671989780589666,-0.18668574456343567,0.7739162275407615
ridge,7,0.6948419797257007,0.4999306226330931,0.18414092719294475,0.54917770847512,0.06976681858511558,1.0406631113288063
ridge,8,0.6595110316040549,0.43713353843542696,0.19350429732314564,0.5698036947551546,-0.24655684249875046,0.727986235661147
ridge,9,0.6946929039952296,0.5100765732334352,0.183707062588326,0.5467407853741769,-0.01396980762881859,0.9739742061828834
ridge,10,0.712432915921288,0.49856917956647157,0.1825631324975801,0.5454105158159234,0.0827872870312399,1.1193467487351787
