C,mean_log_loss,se_log_loss
0.1,0.5478131859835569,0.018147252267956243
0.2,0.5490171795264395,0.021078680398837202
0.05,0.5524787417352748,0.01521267549724788
0.5,0.5557655845744252,0.02451218126391143
1.0,0.561227987349748,0.026341455824535245
2.0,0.5653186521742471,0.027544603546538846
0.02,0.5657487533089984,0.011447801032761657
5.0,0.5684703101715608,0.028376243969826267
10.0,0.5696791366404986,0.028676290254176496
0.01,0.5769271163668763,0.008989234001963999
0.005,0.5859738132837309,0.007278129845889768
0.002,0.5934787711025323,0.006116889695436416
0.001,0.5964972298673161,0.0057561927467030235
