metric,full_cohort_apparent,mean_optimism,optimism_corrected,optimism_p2_5,optimism_p97_5,bootstrap_resamples
AUC,0.7641621943947525,0.05060926152759512,0.7135529328671574,-0.04641226722828221,0.12713860636940988,200
AUPRC,0.6255711799378081,0.07383994840560845,0.5517312315321996,-0.058062302322555305,0.21975426140667065,200
Brier,0.16766328152296076,-0.0155649388000904,0.18322822032305117,-0.045983290044995115,0.011737365174389933,200
Log loss,0.5079135943912544,-0.039186439983803854,0.5471000343750583,-0.1277355582710417,0.024625048654393723,200
